Clade,Superfamille,Famille,Sous Famille,Genre,espèces,MUSEUM,NUMERO,MORPHOTYPE,LIFESTYLE,LIFESTYLE_bis,DIET,DIET/BROAD,"Life.mode (Alhajeri et al, 2020)"
MOUS,Anomaluroidea,Anomaluridae,Anomalurinae,Anomalurus,derbianus,RMCA,325,HYSTRI,arboreal/gliding,arboreal/gliding,bark-fruit-leaf-nut,phytophagous (G),Arboreal
MOUS,Anomaluroidea,Anomaluridae,Anomalurinae,Anomalurus,derbianus,RMCA,21804,HYSTRI,arboreal/gliding,arboreal/gliding,bark-fruit-leaf-nut,phytophagous (G),Arboreal
MOUS,Anomaluroidea,Anomaluridae,Idiurinae,Idiurus,macrotis,RMCA,29335,HYSTRI,arboreal/gliding,arboreal/gliding,bark-fruit-sap,phytophagous (G),Arboreal
MOUS,Anomaluroidea,Anomaluridae,Idiurinae,Idiurus,macrotis,RMCA,38520,HYSTRI,arboreal/gliding,arboreal/gliding,bark-fruit-sap,phytophagous (G),Arboreal
MOUS,Anomaluroidea,Anomaluridae,Idiurinae,Idiurus,zenkeri,NHMUK,3.2.4.39,HYSTRI,arboreal/gliding,arboreal/gliding,bark-fruit-sap,phytophagous (G),Arboreal
MOUS,Anomaluroidea,Anomaluridae,Zenkerellinae,Zenkerella,insignis,NHMUK,5.5.23.27,HYSTRI,arboreal,arboreal,NA,NA,Arboreal
MOUS,Muroidea,Calomyscidae,/,Calomyscus,baluchi,USNM,429369 ou -73,MYOM,terricolous,terrestrial,leaf-seed-grain-nut,phytophagous (G),Terrestrial
MOUS,Muroidea,Calomyscidae,/,Calomyscus,baluchi,USNM,429369 ou -73,MYOM,terricolous,terrestrial,leaf-seed-grain-nut,phytophagous (G),Terrestrial
MOUS,Castoroidea,Castoridae,/,Castor,fiber,MB,nonb,MYOM,semiaquatic,semiaquatic,leaf-root-bark-fruit,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Alticola,stoliczkanus,NHMUK,1975.296,MYOM,NA,NA,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Arvicola,amphibius,CBUN,NA,MYOM,burrower,burrower (C),leaf-seed-bark- fruit-nut-insect-mollusk,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Arvicola,amphibius,UM,QM855,MYOM,burrower,burrower (C),leaf-seed-bark- fruit-nut-insect-mollusk,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Arvicola,amphibius,UM-ZOOL,3109/QM857,MYOM,burrower,burrower (C),leaf-seed-bark- fruit-nut-insect-mollusk,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Arvicola,amphibius,UM-ZOOL,3110/QM858,MYOM,burrower,burrower (C),leaf-seed-bark- fruit-nut-insect-mollusk,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Arvicola,amphibius,UM,QM908,MYOM,burrower,burrower (C),leaf-seed-bark- fruit-nut-insect-mollusk,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Dinaromys,bogdanovi,MNHN-ZM-MO,HERREL,MYOM,terricolous,terrestrial,plants green parts,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Dicrostonyx,groenlandicus,CBUN,NA,MYOM,burrower,burrower,grass-leaf-fruit-twigs-buds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Dicrostonyx,groenlandicus,NHMUK,1995.14,MYOM,burrower,burrower,grass-leaf-fruit-twigs-buds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Ellobius,talpinus,CBUN,FV15 or FV14?,MYOM,burrower,subterranean (C),bulb-roots-grass roots,phytophagous (G),Subterranean
MOUS,Muroidea,Cricetidae,Arvicolinae,Ellobius,sp.,NHMUK,1908.3.2.63,MYOM,burrower,subterranean (C),bulb-roots-grass roots,phytophagous (G),Subterranean
MOUS,Muroidea,Cricetidae,Arvicolinae,Lagurus,lagurus,CBUN,NA,MYOM,burrower,burrower,leaf-root-grass,phytophagous (S),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Lemmus,lemmus,NHMUK,2022.23,MYOM,terricolous,terrestrial,moss- lichen-bark-grass,phytophagous (S),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Lemmus,sibiricus,NHMUK,1976.587,MYOM,terricolous,terrestrial,moss- lichen-bark-grass,phytophagous (S),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Myodes,sp.,NHMUK,1856-7-9-9-15a,MYOM,terricolous,terrestrial,leaf-fruit-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Myodes,sp.,NHMUK,1856-7-9-9-15b,MYOM,terricolous,terrestrial,leaf-fruit-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Myodes,glareolus,NHMUK,1979.66,MYOM,terricolous,terrestrial,leaf-fruit-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Myodes,glareolus,NHMUK,1979.71,MYOM,terricolous,terrestrial,leaf-fruit-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Myodes,glareolus,NHMUK,1979.67,MYOM,terricolous,terrestrial,leaf-fruit-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Microtus,sp.,MB,2018-34-15,MYOM,terricolous,terrestrial,leaf-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Microtus,sp.,MB,2023-2-21,MYOM,terricolous,terrestrial,leaf-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Microtus,sp.,CBGP,1,MYOM,terricolous,terrestrial,leaf-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Microtus,sp.,CBGP,2,MYOM,terricolous,terrestrial,leaf-nut-seed-grass,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Ondatra,zibethicus,UM,486N,MYOM,semiaquatic,semiaquatic/burrower,hydrophyte root-vertebrate-invertebrate,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Arvicolinae,Prometheomys,schaposchnikowi,CBUN,FV19,MYOM,burrower,subterranean,"strictly herbivorous, roots tuber and bulbs",phytophagous (G),Subterranean
MOUS,Muroidea,Cricetidae,Cricetinae,Mesocricetus,auratus,NHMUK,1992.42,MYOM,terricolous,terrestrial,seed-nut-insect,omnivorous (P),Scansorial
MOUS,Muroidea,Cricetidae,Cricetinae,Nothocricetulus,migratorius,NHMUK,1880.4.9.10,MYOM,terricolous,terrestrial,root-leaf-seed-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Cricetinae,Nothocricetulus,migratorius,NHMUK,1880.4.9.11,MYOM,terricolous,terrestrial,root-leaf-seed-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Cricetinae,Phodopus,sp.,CBUN,-,MYOM,burrower,burrower,leaf-fruit-nut-seed-bark-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Neotomyinae,Neotoma,lepida,UWBM,37681,MYOM,terricolous,terrestrial,leaf-bark-seed-nut-fruit,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Neotomyinae,Onychomys,torridus,UWBM,37628,MYOM,terricolous,terrestrial,invertebrate-vertebrate-seed-leaf,omnivorous (A),Terrestrial
MOUS,Muroidea,Cricetidae,Neotomyinae,Peromyscus,leucopus,MNHN-ZM-MO,1874-85 bis A,MYOM,terricolous,terrestrial,leaf-bark-root-seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Neotomyinae,Reithrodontomys,megalotis,UWBM,74514,MYOM,terricolous,terrestrial,leaf-seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Holochilus,brasiliensis,MNHN-ZM-MO,CG1994-5,MYOM,semiaquatic,semiaquatic,leaf and other items of plant origin,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Hylaeamys,megacephalus,JAGUARS,M1823,MYOM,terrestrial,terrestrial,mainly fruits and seeds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Hylaeamys,megacephalus,JAGUARS,M3349,MYOM,terrestrial,terrestrial,mainly fruits and seeds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Hylaeamys,megacephalus,JAGUARS,M2983,MYOM,terrestrial,terrestrial,mainly fruits and seeds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Hylaeamys,megacephalus,JAGUARS,V3644,MYOM,terrestrial,terrestrial,mainly fruits and seeds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Hylaeamys,yunganus,JAGUARS,M3002,MYOM,terrestrial,terrestrial,mainly fruits and seeds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Hylaeamys,yunganus,JAGUARS,M6015,MYOM,terrestrial,terrestrial,mainly fruits and seeds,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Neacomys,paracou,JAGUARS,M1674,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Neacomys,sp.,JAGUARS,M2185,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Neacomys,paracou,JAGUARS,V3649,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Nectomys,rattus,JAGUARS,V3614,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Nectomys,rattus,JAGUARS,V3616,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Nectomys,rattus,JAGUARS,V3621,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Nectomys,rattus,JAGUARS,V3629,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Nectomys,rattus,JAGUARS,M1689,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Nectomys,rattus,JAGUARS,M1856,MYOM,terrestrial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,auyantepui,JAGUARS,M2029,MYOM,arboreal,arboreal,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,bicolor,JAGUARS,M1678,MYOM,arboreal,arboreal,arthropods and plant parts,omnivorous,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,bicolor,JAGUARS,M1857,MYOM,arboreal,arboreal,arthropods and plant parts,omnivorous,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,bicolor,JAGUARS, M2847,MYOM,arboreal,arboreal,arthropods and plant parts,omnivorous,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,bicolor,UM,V3623,MYOM,arboreal,arboreal,arthropods and plant parts,omnivorous,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,bicolor,UM,V3624,MYOM,arboreal,arboreal,arthropods and plant parts,omnivorous,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,rex,UM,V3650,MYOM,arboreal,arboreal,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,rex,UM,V3652,MYOM,arboreal,arboreal,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,rutilus,UM,V3625,MYOM,scansorial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oecomys,rutilus,UM,V3627,MYOM,scansorial,terrestrial,NA,NA,Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oligoryzomys,delicatus,JAGUARS,M1701,MYOM,terrestrial,terrestrial,seed-fruit-insect,omnivorous (P),
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oligoryzomys,delicatus,JAGUARS,M3252,MYOM,terrestrial,terrestrial,seed-fruit-insect,omnivorous (P),
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oligoryzomys,delicatus,JAGUARS,M3254,MYOM,terrestrial,terrestrial,seed-fruit-insect,omnivorous (P),
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oligoryzomys,delicatus,JAGUARS,M1592,MYOM,terrestrial,terrestrial,seed-fruit-insect,omnivorous (P),
MOUS,Muroidea,Cricetidae,Sigmodontinae,Oligoryzomys,delicatus,JAGUARS,M1688,MYOM,terrestrial,terrestrial,seed-fruit-insect,omnivorous (P),
MOUS,Muroidea,Cricetidae,Sigmodontinae,Sigmodon,hispidus,MNHN-ZM-MO,2000-231,MYOM,terricolous,terrestrial,leaf-bark-root-seed-nut-fruit-invertebrate,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Thomasomys,sp.,MUSM,40832,MYOM,,,,,Scansorial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Thomasomys,sp.,MUSM,DMC 059,MYOM,,,,,Scansorial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Zygodontomys,brevicauda,JAGUARS,M1376,MYOM,terricolous,terrestrial,seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Zygodontomys,brevicauda,JAGUARS,M1824,MYOM,terricolous,terrestrial,seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Zygodontomys,brevicauda,JAGUARS,M2047,MYOM,terricolous,terrestrial,seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Zygodontomys,brevicauda,JAGUARS,M2754,MYOM,terricolous,terrestrial,seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Sigmodontinae,Zygodontomys,brevicauda,JAGUARS,M6016,MYOM,terricolous,terrestrial,seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Cricetidae,Tylomyinae,Tylomys,watsoni,USNM,460460,MYOM,arboreal,arboreal,fruit-leaf-seed-lichen-bark,phytophagous (G),Terrestrial
MOUS,Muroidea,Cricetidae,Tylomyinae,Tylomys,watsoni,USNM,460459,MYOM,arboreal,arboreal,fruit-leaf-seed-lichen-bark,phytophagous (G),Terrestrial
MOUS,Dipodoidea,Dipodidae,Allactaginae,Allactaga,elater,NHMUK,1886.10.15.15-16,HYSTRI,terricolous,terrestrial,seed- insect-succulent parts of plant,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Dipodidae,Cardiocraniinae,Salpingotulus,michaelis,NHMUK,65.4168,HYSTRI,terricolous,terrestrial,plant-grass seed,phytophagous (G),Terrestrial
MOUS,Dipodoidea,Dipodidae,Dipodinae,Jaculus,jaculus,NHMUK,95.34,HYSTRI,terricolous,terrestrial,root-grass-seed-nut-insect,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Dipodidae,Dipodinae,Jaculus,jaculus,NHMUK,79.2181,HYSTRI,terricolous,terrestrial,root-grass-seed-nut-insect,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Dipodidae,Dipodinae,Jaculus,jaculus,CBUN,CSB 002,HYSTRI,terricolous,terrestrial,root-grass-seed-nut-insect,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Dipodidae,Dipodinae,Jaculus,jaculus,CBUN,CSB 003,HYSTRI,terricolous,terrestrial,root-grass-seed-nut-insect,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Dipodidae,Dipodinae,Jaculus,jaculus,CBUN,CSB 004,HYSTRI,terricolous,terrestrial,root-grass-seed-nut-insect,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Dipodidae,Sicistinae,Sicista,betulina,CBUN,unreg1,HYSTRI,terricolous,terrestrial,leaf-grass-seed-fruit-invertebrate,omnivorous (P),Terrestrial
MOUS,Dipodoidea,Zapodidae,Zapodinae,Zapus,trinotatus,UWBM,57265,HYSTRI,terrestrial,terrestrial,seed-fruit-invertebrate,omnivorous (P),Terrestrial
MOUS,Geomyoidea,Geomyidae,/,Thomomys,mazama,UWBM,38906,SCIURO,burrower,subterranean,plant species-grass-root-wood-forbs,phytophagous (G),Subterranean
MOUS,Geomyoidea,Geomyidae,/,Thomomys,talpoides,CBUN,FU23CB,SCIURO,burrower,subterranean (C),root-seed-nut-leaf,phytophagous (G),Subterranean
MOUS,Geomyoidea,Heteromyidae,Dipodomyinae,Dipodomys,merriami,UWBM,37549,SCIURO,terricolous,burrower,seed (almost entirely)-insect,omnivorous (P),Terrestrial
MOUS,Geomyoidea,Heteromyidae,Dipodomyinae,Dipodomys,sp.,CBUN,2,SCIURO,terricolous,burrower,seed (almost entirely)-insect,omnivorous (P),Terrestrial
MOUS,Geomyoidea,Heteromyidae,Heteromyinae,Heteromys,desmarestianus,NHMUK,2003.221,SCIURO,terrestrial,burrower,seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Geomyoidea,Heteromyidae,Perognathinae,Chaetodipus,formosus,UWBM,37577,SCIURO,terricolous,burrower,leaf-seed-nut-fruit-insect,omnivorous (P),Terrestrial
MOUS,Geomyoidea,Heteromyidae,Perognathinae,Perognathus,longimembris,UWBM,37550,SCIURO,terricolous,burrower,seed-ford-grass-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Acomys,airensis,MNHN-ZM-MO,1993-1961,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Acomys,airensis,MNHN-ZM-MO,1993-1962,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Acomys,kempi,CBUN,ETH0332,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Acomys,kempi,CBUN,KE804,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Deomys,ferrugineus,MNHN-ZM-MO,1996-709,MYOM,terrestrial,terrestrial,invertebrate-fruit-nut,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Deomys,ferrugineus,MNHN-ZM-MO,1996-707,MYOM,terrestrial,terrestrial,invertebrate-fruit-nut,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Lophuromys,sikapusi,MNHN-ZM-MO,2013-236,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Lophuromys,sikapusi,MNHN-ZM-MO,2013-260,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Lophuromys,angolensis,CBUN,ANG0208,MYOM,NA,NA,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Lophuromys,angolensis,CBUN,ANG0282,MYOM,NA,NA,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Uranomys,ruddi,MNHN-ZM-MO,1996-2080,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Deomyinae,Uranomys,ruddi,MNHN-ZM-MO,1996-2078,MYOM,terrestrial,terrestrial,insect-plant,omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Gerbilliscus,angolae,CBUN,ANG0104,MYOM,terricolous,terrestrial,primarily herbivorous 5% insect,phytophagous (G),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Gerbilliscus,kempi,CBUN,ETH1372,MYOM,terricolous,terrestrial,granivorous herbivorous,phytophagous (G),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Gerbillus,sp.,MNHN-ZM-MO,HERREL,MYOM,terricolous,terrestrial,seed-nut-grass-root-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Gerbillus,sp.,MNHN-ZM-MO,2001-623,MYOM,terricolous,terrestrial,seed-nut-grass-root-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Gerbillus,sp.,MNHN-ZM-MO,2001-624,MYOM,terricolous,terrestrial,seed-nut-grass-root-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Meriones,shawi,MNHN-ZM-MO,CG 1993-2269,MYOM,terricolous,terrestrial,seed-grass-leaf-fruit,phytophagous (G),Terrestrial
MOUS,Muroidea,Muridae,Gerbillinae,Psammomys,obesus,UM,577N,MYOM,terricolous,terrestrial,leaf and stem of amaranthaceae,phytophagous (S),Terrestrial
MOUS,Muroidea,Muridae,Lophiomyinae,Lophiomys,imhausi,NHMUK,unreg,MYOM,terricolous,terrestrial,leaf-fruit-root,phytophagous (G),Scansorial
MOUS,Muroidea,Muridae,Lophiomyinae,Lophiomys,imhausi,NMK,unreg,MYOM,terricolous,terrestrial,leaf-fruit-root,phytophagous (G),Scansorial
MOUS,Muroidea,Muridae,Murinae,Abeomelomys,sevia,CBUN?,MW3200_139,MYOM,arboreal,arboreal,NA,NA,Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,hindei,CBUN,ETH1371,MYOM,terrestrial,terrestrial,NA,phytophagous (G),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,kaiseri,CBUN,KE623,MYOM,terrestrial,terrestrial,fruit-seed-leaf-stem-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,kaiseri,CBUN,TA113,MYOM,terrestrial,terrestrial,fruit-seed-leaf-stem-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,chrysophilus,MNHN-ZM-MO,1993-4365,MYOM,terrestrial,terrestrial,fruit-seed-leaf-stem-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,chrysophilus,MNHN-ZM-MO,1993-4364,MYOM,terrestrial,terrestrial,fruit-seed-leaf-stem-insect,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,sp.,CBUN,ANG0288,MYOM,terrestrial,terrestrial,NA,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Aethomys,sp.,CBUN,ANG0290,MYOM,terrestrial,terrestrial,NA,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Anisomys,imitator,CBUN,FR2200_020,MYOM,scansorial,arboreal,fruit-nut,phytophagous (G),Scansorial
MOUS,Muroidea,Muridae,Murinae,Anonymomys,mindorensis,N,222898,MYOM,arboreal,arboreal,NA,NA,Arboreal
MOUS,Muroidea,Muridae,Murinae,Apodemus,sylvaticus,MB,2018-34-14,MYOM,terricolous,terrestrial,seed-invertebrate-fruit-root,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apodemus,sylvaticus,MB,2018-34-16,MYOM,terricolous,terrestrial,seed-invertebrate-fruit-root,omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,sp.,,46-45?,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,banahao,CBGP,P0067,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,banahao,CBGP,P0064,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,banahao,CBGP,P0045,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,banahao,CBGP,P0032,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,banahao,CBGP,P0049,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,banahao,CBGP,P0066,MYOM,terrestrial,terrestrial,NA,omnivorous (A?),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,datae,FMNH,188274,MYOM,terrestrial,terrestrial,"earthworms, insects and seeds",omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,datae,FMNH,188256,MYOM,terrestrial,terrestrial,"earthworms, insects and seeds",omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,datae,FMNH,188272,MYOM,terrestrial,terrestrial,"earthworms, insects and seeds",omnivorous (A),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,microdon,FMNH,209408,MYOM,arboreal,arboreal,"seeds, insects and earthworms",omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Apomys,musculus,FMNH,193681,MYOM,arboreal,arboreal,"seeds, insects and earthworms",omnivorous (P),Terrestrial
MOUS,Muroidea,Muridae,Murinae,Archboldomys,maximus,FMNH,193524,MYOM,terrestrial,terrestrial,earthworm-centipede-insect ,carnivorous,Terrestrial
